Date,Open,High,Low,Close,Adj Close,Volume
2021-03-30,62.299999,64.099998,61.900002,62.990002,62.990002,12533300
2021-03-31,63.980000,64.980003,63.270000,63.630001,63.630001,14479800
2021-04-01,64.680000,66.360001,63.639999,63.830002,63.830002,15261000
2021-04-05,64.139999,64.339996,61.810001,64.239998,64.239998,15502100
2021-04-06,64.669998,67.650002,64.300003,67.000000,67.000000,15587900
2021-04-07,66.639999,69.970001,66.080002,68.989998,68.989998,23964600
2021-04-08,69.910004,71.449997,69.279999,71.220001,71.220001,16843400
2021-04-09,70.349998,71.449997,69.910004,71.190002,71.190002,15659500
2021-04-12,70.870003,71.839996,69.650002,70.860001,70.860001,9495200
2021-04-13,71.720001,72.779999,70.730003,72.449997,72.449997,9991700
2021-04-14,72.510002,73.220001,69.500000,69.739998,69.739998,12931200
2021-04-15,70.550003,71.879997,70.169998,71.709999,71.709999,11108300
2021-04-16,71.970001,72.199997,69.680000,70.120003,70.120003,9429900
2021-04-19,69.620003,69.919998,66.769997,67.940002,67.940002,18198600
2021-04-20,68.010002,68.099998,65.220001,65.699997,65.699997,14171200
2021-04-21,65.730003,67.360001,64.699997,67.330002,67.330002,11817300
2021-04-22,67.419998,67.500000,64.080002,64.309998,64.309998,16804100
2021-04-23,65.720001,67.129997,65.430000,67.019997,67.019997,12407700
2021-04-26,66.489998,67.250000,65.849998,66.720001,66.720001,11769800
2021-04-27,67.139999,68.360001,66.000000,66.010002,66.010002,10827000
2021-04-28,65.550003,66.559998,63.740002,65.699997,65.699997,13340300
2021-04-29,67.010002,67.050003,63.990002,65.089996,65.089996,31017700
2021-04-30,56.000000,57.630001,55.049999,55.220001,55.220001,88378800
2021-05-03,55.520000,55.549999,52.669998,54.580002,54.580002,79649000
2021-05-04,55.070000,55.720001,53.160000,54.400002,54.400002,30404500
2021-05-05,54.950001,54.970001,53.320000,53.560001,53.560001,19111100
2021-05-06,53.480000,53.840000,52.340000,53.810001,53.810001,19586900
2021-05-07,54.770000,54.919998,53.369999,53.790001,53.790001,21748600
2021-05-10,53.009998,53.080002,51.619999,51.810001,51.810001,17362300
2021-05-11,49.520000,53.189999,49.200001,52.880001,52.880001,16749900
2021-05-12,51.869999,52.380001,50.060001,50.700001,50.700001,17223200
2021-05-13,51.680000,51.770000,49.119999,50.110001,50.110001,14303900
2021-05-14,50.610001,51.919998,50.189999,51.730000,51.730000,9836800
2021-05-17,52.230000,52.730000,51.279999,52.599998,52.599998,21351700
2021-05-18,52.599998,55.150002,52.419998,53.189999,53.189999,23612300
2021-05-19,52.189999,53.160000,51.669998,52.919998,52.919998,21551300
2021-05-20,53.230000,54.910000,53.220001,54.709999,54.709999,12612700
2021-05-21,55.000000,55.000000,53.939999,54.450001,54.450001,12583400
2021-05-24,54.900002,57.330002,54.660000,57.060001,57.060001,25656400
2021-05-25,57.349998,57.639999,56.540001,57.000000,57.000000,13488900
2021-05-26,57.369999,58.610001,57.310001,57.849998,57.849998,15984400
2021-05-27,57.639999,58.299999,57.029999,58.080002,58.080002,9113900
2021-05-28,58.200001,58.560001,57.830002,58.000000,58.000000,8752700
2021-06-01,58.200001,58.200001,56.270000,57.439999,57.439999,13122700
2021-06-02,57.279999,57.639999,56.320000,57.160000,57.160000,9472900
2021-06-03,56.959999,58.669998,55.830002,57.009998,57.009998,21985700
2021-06-04,57.410000,59.299999,57.320000,59.000000,59.000000,12256100
2021-06-07,58.619999,59.830002,57.720001,59.630001,59.630001,10538600
2021-06-08,59.790001,60.090000,57.820000,58.810001,58.810001,12772900
2021-06-09,59.590000,61.049999,59.410000,59.709999,59.709999,16163600
2021-06-10,59.799999,60.380001,58.740002,60.299999,60.299999,8717500
2021-06-11,59.950001,60.630001,59.869999,60.500000,60.500000,6980400
2021-06-14,60.849998,61.549999,60.450001,60.830002,60.830002,9316600
2021-06-15,61.090000,61.320000,60.189999,60.230000,60.230000,9579900
2021-06-16,60.119999,61.150002,59.150002,59.930000,59.930000,9336500
2021-06-17,59.610001,61.619999,59.529999,60.709999,60.709999,10201300
2021-06-18,60.200001,60.970001,59.529999,60.849998,60.849998,13273000
2021-06-21,60.849998,62.090000,59.740002,61.959999,61.959999,12027100
2021-06-22,61.919998,64.050003,61.910000,63.779999,63.779999,16686200
2021-06-23,63.910000,66.769997,63.790001,66.489998,66.489998,18548000
2021-06-24,66.750000,68.739998,66.750000,68.250000,68.250000,23144800
2021-06-25,68.290001,68.919998,67.279999,67.930000,67.930000,13896900
2021-06-28,68.160004,68.629997,67.080002,68.290001,68.290001,11176100
2021-06-29,68.279999,69.379997,67.930000,69.000000,69.000000,9526400
2021-06-30,68.760002,69.120003,68.250000,68.809998,68.809998,9752900
2021-07-01,68.570000,70.000000,67.370003,68.110001,68.110001,9978800
2021-07-02,68.709999,69.290001,68.430000,69.199997,69.199997,8095600
2021-07-06,69.349998,70.930000,69.230003,70.209999,70.209999,12317400
2021-07-07,70.629997,70.849998,68.709999,68.760002,68.760002,10609300
2021-07-08,67.000000,67.610001,66.239998,66.830002,66.830002,12782500
2021-07-09,67.070000,69.010002,66.980003,68.970001,68.970001,14393700
2021-07-12,69.459999,70.440002,68.800003,69.860001,69.860001,9223600
2021-07-13,69.540001,70.870003,69.260002,69.599998,69.599998,9992700
2021-07-14,70.419998,72.070000,70.089996,70.269997,70.269997,21555900
2021-07-15,70.099998,70.160004,67.410004,68.070000,68.070000,14933800
2021-07-16,68.559998,69.279999,66.139999,66.410004,66.410004,14271100
2021-07-19,65.239998,66.730003,64.650002,66.019997,66.019997,15830100
2021-07-20,66.250000,68.540001,65.820000,67.940002,67.940002,11583900
2021-07-21,67.589996,69.769997,67.550003,69.540001,69.540001,10082900
2021-07-22,68.639999,70.129997,68.510002,69.570000,69.570000,24130400
2021-07-23,72.199997,73.339996,69.879997,71.690002,71.690002,44275800
2021-07-26,71.250000,71.250000,67.470001,68.690002,68.690002,29185100
2021-07-27,68.320000,69.480003,66.860001,68.330002,68.330002,16988300
2021-07-28,68.389999,71.919998,67.760002,69.959999,69.959999,23203600
2021-07-29,69.500000,71.589996,69.500000,70.370003,70.370003,11630000
2021-07-30,69.830002,71.129997,69.500000,69.750000,69.750000,13214600
2021-08-02,70.230003,70.440002,68.660004,69.129997,69.129997,12040800
2021-08-03,69.870003,70.959999,68.080002,68.629997,68.629997,9221400
2021-08-04,68.680000,69.080002,67.910004,68.699997,68.699997,7578400
2021-08-05,68.849998,69.449997,68.080002,69.279999,69.279999,8634600
2021-08-06,69.300003,69.809998,66.879997,67.370003,67.370003,11451000
2021-08-09,67.500000,67.519997,66.449997,67.010002,67.010002,7938300
2021-08-10,67.199997,67.370003,65.570000,65.680000,65.680000,8995700
2021-08-11,65.790001,66.330002,64.629997,65.459999,65.459999,8630500
2021-08-12,64.809998,65.279999,64.059998,64.949997,64.949997,7959300
2021-08-13,64.989998,65.769997,64.610001,64.820000,64.820000,6078200
2021-08-16,64.339996,64.940002,62.810001,63.779999,63.779999,11987300
2021-08-17,63.340000,63.840000,62.360001,62.880001,62.880001,6950300
2021-08-18,62.849998,63.310001,62.070000,62.119999,62.119999,6891000
2021-08-19,61.590000,63.189999,61.500000,62.049999,62.049999,8508100
2021-08-20,62.130001,63.169998,61.990002,62.520000,62.520000,8594800
2021-08-23,63.200001,64.559998,63.060001,64.129997,64.129997,9962400
2021-08-24,64.839996,65.059998,63.919998,63.980000,63.980000,6133900
2021-08-25,63.950001,64.309998,63.200001,64.169998,64.169998,5470200
2021-08-26,63.959999,64.250000,62.529999,62.610001,62.610001,6379500
2021-08-27,62.720001,63.720001,62.490002,63.430000,63.430000,6330000
2021-08-30,63.700001,65.050003,63.450001,64.699997,64.699997,8071900
2021-08-31,64.519997,65.150002,64.160004,64.500000,64.500000,9157900
2021-09-01,64.650002,66.720001,64.650002,65.550003,65.550003,15284300
2021-09-02,65.970001,66.050003,64.410004,64.599998,64.599998,8589700
2021-09-03,64.430000,65.089996,63.849998,64.660004,64.660004,5060100
2021-09-07,64.709999,65.129997,64.150002,64.980003,64.980003,7149400
2021-09-08,64.940002,65.360001,62.080002,62.270000,62.270000,11767200
2021-09-09,62.360001,63.180000,62.240002,62.459999,62.459999,8168900
2021-09-10,62.950001,63.369999,61.470001,61.560001,61.560001,7026200
2021-09-13,61.299999,61.410000,58.450001,59.660000,59.660000,16851600
2021-09-14,60.070000,60.700001,59.490002,60.189999,60.189999,8240100
2021-09-15,60.099998,61.910000,59.639999,61.840000,61.840000,13074500
2021-09-16,61.529999,62.610001,60.930000,62.290001,62.290001,9918700
2021-09-17,62.099998,62.980000,61.650002,62.470001,62.470001,9810600
2021-09-20,61.150002,61.320000,59.840000,60.950001,60.950001,12194300
2021-09-21,61.509998,63.299999,61.509998,62.779999,62.779999,10400300
2021-09-22,62.049999,64.629997,61.259998,64.250000,64.250000,13052300
2021-09-23,64.790001,66.930000,64.040001,66.690002,66.690002,15123500
2021-09-24,66.089996,67.449997,65.459999,67.220001,67.220001,11035700
2021-09-27,66.610001,67.089996,65.220001,65.370003,65.370003,11264900
2021-09-28,64.360001,64.540001,62.160000,62.450001,62.450001,9866600
2021-09-29,62.939999,63.360001,60.009998,60.070000,60.070000,9256100
2021-09-30,60.380001,61.230000,59.860001,60.389999,60.389999,9372600
2021-10-01,60.810001,62.139999,60.560001,61.980000,61.980000,9728400
2021-10-04,61.040001,61.160000,57.639999,58.389999,58.389999,17381300
2021-10-05,59.209999,60.669998,58.820000,59.860001,59.860001,12006500
2021-10-06,58.950001,61.709999,58.790001,61.290001,61.290001,10648100
2021-10-07,62.200001,64.360001,62.150002,63.970001,63.970001,15010400
2021-10-08,64.250000,64.339996,63.310001,63.680000,63.680000,8094900
2021-10-11,62.990002,63.509998,62.070000,62.099998,62.099998,9020400
2021-10-12,61.680000,62.799999,60.790001,61.450001,61.450001,9952100
2021-10-13,61.959999,62.740002,61.509998,62.200001,62.200001,9423500
2021-10-14,63.009998,63.779999,62.750000,63.169998,63.169998,6807900
2021-10-15,63.240002,63.430000,62.290001,62.770000,62.770000,6678500
2021-10-18,62.689999,65.070000,62.669998,64.839996,64.839996,10359500
2021-10-19,65.139999,67.360001,64.300003,66.110001,66.110001,11486900
2021-10-20,66.360001,68.410004,65.540001,65.800003,65.800003,15938400
2021-10-21,65.669998,65.980003,64.730003,65.400002,65.400002,10918500
2021-10-22,63.810001,64.470001,62.090000,62.240002,62.240002,17636400
2021-10-25,61.520000,62.669998,60.450001,62.110001,62.110001,15874500
2021-10-26,62.660000,63.080002,60.939999,61.430000,61.430000,22676100
2021-10-27,60.049999,60.160000,54.790001,54.810001,54.810001,48107700
2021-10-28,55.080002,55.639999,53.889999,54.290001,54.290001,22508400
2021-10-29,54.009998,54.480000,53.150002,53.540001,53.540001,14832400
2021-11-01,53.560001,55.330002,53.410000,55.110001,55.110001,14747000
2021-11-02,55.040001,55.080002,53.779999,53.990002,53.990002,11571400
2021-11-03,53.680000,54.549999,53.099998,54.529999,54.529999,9774200
2021-11-04,54.580002,54.840000,53.180000,53.680000,53.680000,11284700
2021-11-05,54.110001,54.180000,52.810001,53.150002,53.150002,13263900
2021-11-08,53.450001,54.320000,53.160000,54.080002,54.080002,10565500
2021-11-09,54.110001,54.930000,53.160000,53.700001,53.700001,11230100
2021-11-10,53.250000,53.980000,51.750000,52.330002,52.330002,18858400
2021-11-11,52.590000,52.840000,51.840000,51.980000,51.980000,13972100
2021-11-12,52.299999,52.810001,51.919998,52.250000,52.250000,13283300
2021-11-15,52.410000,53.910000,52.410000,52.950001,52.950001,21965600
2021-11-16,52.860001,53.000000,51.880001,52.110001,52.110001,10743600
2021-11-17,52.029999,52.139999,50.580002,50.610001,50.610001,16968800
2021-11-18,50.650002,50.830002,48.459999,48.599998,48.599998,22373500
2021-11-19,49.119999,50.369999,48.400002,48.400002,48.400002,26162400
2021-11-22,48.509998,48.549999,46.520000,47.310001,47.310001,26620100
2021-11-23,47.200001,47.459999,45.980000,47.139999,47.139999,19663700
2021-11-24,46.660000,47.639999,46.160000,47.520000,47.520000,9979500
2021-11-26,46.639999,47.349998,46.230000,47.070000,47.070000,7861300
2021-11-29,51.880001,52.270000,45.619999,45.779999,45.779999,71686600
2021-11-30,45.509998,45.849998,43.000000,43.939999,43.939999,36213400
2021-12-01,44.910000,46.500000,42.799999,42.820000,42.820000,34082600
2021-12-02,43.060001,43.160000,41.750000,42.650002,42.650002,24374800
2021-12-03,42.820000,43.099998,41.009998,42.070000,42.070000,26110100
2021-12-06,42.110001,44.720001,41.750000,44.470001,44.470001,26228700
2021-12-07,45.070000,46.340000,44.320000,44.459999,44.459999,21200500
2021-12-08,44.599998,46.200001,44.340000,45.720001,45.720001,18408200
2021-12-09,47.209999,48.220001,46.410000,46.459999,46.459999,26145200
2021-12-10,46.599998,46.599998,44.970001,45.560001,45.560001,14046200
2021-12-13,45.549999,45.900002,43.779999,44.599998,44.599998,11710300
2021-12-14,44.040001,44.689999,43.700001,44.349998,44.349998,11205400
2021-12-15,44.000000,44.240002,42.740002,44.070000,44.070000,14962100
2021-12-16,44.430000,45.029999,42.720001,43.130001,43.130001,13052600
2021-12-17,42.700001,44.029999,41.630001,43.070000,43.070000,29132600
2021-12-20,42.369999,43.270000,41.790001,42.980000,42.980000,12319500
2021-12-21,43.230000,44.450001,42.730000,44.360001,44.360001,9537400
2021-12-22,44.049999,44.560001,43.630001,43.900002,43.900002,10134800
2021-12-23,44.000000,44.529999,43.000000,44.160000,44.160000,8977600
2021-12-27,44.209999,44.919998,44.130001,44.330002,44.330002,8589700
2021-12-28,44.209999,44.779999,43.230000,43.430000,43.430000,8831000
2021-12-29,43.169998,43.549999,42.560001,42.759998,42.759998,8732900
2021-12-30,42.770000,45.090000,42.630001,44.459999,44.459999,14541100
2021-12-31,44.340000,44.759998,43.180000,43.220001,43.220001,9817500
2022-01-03,43.500000,43.689999,42.480000,42.660000,42.660000,14431900
2022-01-04,42.849998,42.970001,40.360001,40.849998,40.849998,21422400
2022-01-05,40.799999,41.880001,39.450001,39.500000,39.500000,22008600
2022-01-06,39.500000,40.439999,38.689999,39.590000,39.590000,16613400
2022-01-07,39.650002,40.689999,39.320000,39.669998,39.669998,14641200
2022-01-10,39.330002,40.029999,38.220001,39.970001,39.970001,14997300
2022-01-11,39.790001,40.939999,39.599998,40.660000,40.660000,13815400
2022-01-12,40.880001,41.480000,39.770000,40.250000,40.250000,10439000
2022-01-13,40.150002,40.340000,38.610001,38.700001,38.700001,15075600
2022-01-14,38.430000,39.049999,37.509998,38.439999,38.439999,14826900
2022-01-18,37.720001,38.200001,37.130001,37.299999,37.299999,14896800
2022-01-19,37.130001,38.279999,37.009998,37.349998,37.349998,19798000
2022-01-20,37.840000,39.029999,37.200001,37.279999,37.279999,17688900
2022-01-21,36.900002,37.080002,34.799999,34.820000,34.820000,25603200
2022-01-24,33.700001,35.139999,32.049999,35.060001,35.060001,31933000
2022-01-25,34.220001,34.990002,33.619999,34.169998,34.169998,19205800
